,SpeciesName,NumReferences,NumChar,NumWords,Error
568,Ibycter americanus,13,5689,881,200
569,Micrastur buckleyi,8,3024,488,200
570,Micrastur gilvicollis,9,2778,458,200
571,Micrastur mintoni,6,6982,1094,200
572,Micrastur mirandollei,6,3104,498,200
573,Micrastur plumbeus,10,4798,778,200
574,Micrastur ruficollis,13,5087,815,200
575,Micrastur semitorquatus,14,9794,1589,200
576,Microhierax caerulescens,6,2377,360,200
577,Microhierax erythrogenys,10,5043,767,200
578,Microhierax fringillarius,7,3562,562,200
579,Microhierax latifrons,11,6408,1019,200
580,Microhierax melanoleucos,12,5095,808,200
581,Milvago chimachima,21,6351,1020,200
582,Phalcoboenus albogularis,9,4011,620,200
583,Phalcoboenus australis,23,5802,920,200
584,Phalcoboenus carunculatus,9,4011,624,200
585,Phalcoboenus chimango,13,6580,1057,200
586,Phalcoboenus megalopterus,13,5188,844,200
587,Polihierax insignis,2,3461,544,200
588,Polihierax semitorquatus,13,5321,829,200
589,Spiziapteryx circumcincta,7,3451,561,200
590,Leptosomus discolor,4,4292,686,200
591,Acanthisitta chloris,11,4742,806,200
592,Xenicus gilviventris,15,4958,806,200
593,Acanthiza apicalis,26,8187,1216,200
594,Acanthiza chrysorrhoa,8,3956,625,200
595,Acanthiza cinerea,1,353,53,200
596,Acanthiza ewingii,10,3656,563,200
597,Acanthiza inornata,1,281,40,200
598,Acanthiza iredalei,10,1738,264,200
599,Acanthiza katherina,1,303,45,200
600,Acanthiza lineata,10,1655,243,200
601,Acanthiza murina,1,310,49,200
602,Acanthiza nana,10,5264,819,200
603,Acanthiza pusilla,14,4832,776,200
604,Acanthiza reguloides,10,3420,510,200
605,Acanthiza robustirostris,1,217,32,200
606,Acanthiza uropygialis,37,8631,1245,200
607,Acanthornis magna,8,2528,402,200
608,Aphelocephala leucopsis,14,5916,894,200
609,Aphelocephala nigricincta,7,2070,342,200
610,Aphelocephala pectoralis,1,318,47,200
611,Calamanthus campestris,12,9095,1304,200
612,Calamanthus cautus,9,2116,320,200
613,Calamanthus fuliginosus,8,3117,507,200
614,Calamanthus montanellus,4,899,130,200
615,Calamanthus pyrrhopygius,13,3692,557,200
616,Crateroscelis murina,4,579,87,200
617,Crateroscelis nigrorufa,3,572,84,200
618,Crateroscelis robusta,4,589,87,200
619,Gerygone albofrontata,8,4814,778,200
620,Gerygone chloronota,2,343,50,200
621,Gerygone chrysogaster,2,284,43,200
622,Gerygone citrina,2,455,70,200
623,Gerygone dorsalis,2,363,55,200
624,Gerygone flavolateralis,3,380,60,200
625,Gerygone fusca,27,7638,1105,200
626,Gerygone hypoxantha,2,575,87,200
627,Gerygone igata,9,3468,600,200
628,Gerygone inornata,1,338,53,200
629,Gerygone levigaster,4,2549,418,200
630,Gerygone magnirostris,2,437,61,200
631,Gerygone modesta,1,477,73,200
632,Gerygone mouki,2,1221,204,200
633,Gerygone olivacea,3,433,62,200
634,Gerygone palpebrosa,10,2507,381,200
635,Gerygone ruficollis,1,320,49,200
636,Gerygone sulphurea,2,444,61,200
637,Gerygone tenebrosa,3,314,48,200
638,Oreoscopus gutturalis,12,2835,446,200
639,Origma solitaria,10,3625,591,200
640,Pachycare flavogriseum,5,2923,478,200
641,Pycnoptilus floccosus,12,3222,498,200
642,Pyrrholaemus brunneus,15,7822,1189,200
643,Pyrrholaemus sagittatus,13,5713,864,200
644,Sericornis arfakianus,3,500,77,200
